arbitro,index
Leandro Pedro Vuaden,0
Giulliano Bozzano,1
Paulo César de Oliveira,2
Péricles Bassols Pegado Cortez,3
Carlos Simon,4
Marcelo de Lima Henrique,5
Antonio Hora Filho,6
Salvio Fagundes Filho,7
Sergio da Silva Carvalho,8
Wilson Souza de Mendonça,9
Djalma José Beltrami Teixeira,10
André Luiz de Freitas Castro,11
Evandro Rogerio Roman,12
Héber Lopes,13
Leonardo Gaciba da Silva,14
Jailson Macedo Freitas,15
Wilson Luiz Seneme,16
Ricardo Marques Ribeiro,17
Celio Amorim,18
Rodrigo Martins Cintra,19
Luís Antônio Silva Santos,20
Wagner Tardelli Azevedo,21
Elmo Alves Resende Cunha,22
Wilton Sampaio,23
Gutemberg de Paula Fonseca,24
Cleber Wellington Abade,25
Arilson Bispo da Anunciação,26
Luiz Alberto Sardinha Bites,27
Alício Pena Junior,28
Luiz Flávio de Oliveira,29
Wallace Nascimento Valente,30
Sandro Ricci,31
José Henrique de Carvalho,32
Francisco de Assis Almeida Filho,33
William Marcelo Souza Nery,34
Pablo dos Santos Alves,35
Guilherme Ceretta de Lima,36
Émerson Luiz Sobral,37
Rodrigo Braghetto,38
João Alberto Gomes Duarte,39
tbc,40
Cláudio Luciano Mercante Júnior,41
Lourival Dias Lima Filho,42
Maurício Aparecido de Siqueira,43
Nielson Nogueira Dias,44
Fabrício Neves Corrêa,45
Márcio Chagas da Silva,46
Marcos André Gomes da Penha,47
Wagner Reway,48
Paulo Henrique de Godoy Bezerra,49
José de Caldas Souza,50
Franscisco Carlos do Nascimento,51
Antonio de Carvalho Schneider,52
Jean Pierre Goncalves Lima,53
Dewson Fernando Freitas da Silva,54
Emerson de Almeida Ferreira,55
Jefferson Schmidt,56
Wagner do Nascimento Magalhães,57
Felipe Gomes da Silva,58
Rodrigo Nunes de Sá,59
Edivaldo Elias da Silva,60
Claudio Francisco Lima e Silva,61
Anderson Daronco,62
Antônio Denival de Morais,63
Antônio Rogério Batista do Prado,64
Raphael Claus,65
Marcelo Aparecido Ribeiro de Souza,66
Grazianni Maciel Rocha,67
Manuel Lopo Garrido,68
Flávio Rodrigues Guerra,69
Leandro Bizzio Marinho,70
Wagner dos Santos Rosa,71
Ronan Marques da Rosa,72
Rodrigo Guarizo Ferreira do Amaral,73
Francisco Carlos do Nascimento,74
Cleisson Veloso Pereira,75
Italo Medeiros de Azevedo,76
Vinicius Furlan,77
Rodrigo Batista Raposo,78
Marielson Alves Silva,79
Igor Junior Benevenuto,80
Gilberto Rodrigues Castro Junior,81
Flávio Feijó de Omena,82
Paulo Henrique Schleinch Vollkopf,83
Braulio da Silva Machado,84
Devarly Lira do Rosário,85
Rodrigo D,86
Flavio Rodrigues de Souza,87
Thiago Duarte Peixoto,88
Bruno Arleu de Araújo,89
Rodolpho Toski Marques,90
Alisson Sidnei Furtado,91
Luis Cesar de Oliveira Magalhães,92
Luís Máximo,93
Eduardo Tomaz de Aquino Valadão,94
Diego Almeida Real,95
João Batista de Arruda,96
Rafael Traci,97
Caio Max Augusto Vieira,98
Leonardo Garcia Cavaleiro,99
José Claudio Rocha Filho,100
Paulo Roberto Alves Júnior,101
Antonio Dib Moraes de Sousa,102
Dyorgines Jose Padovani,103
Vinicius Gonçalves Dias Araujo,104
Savio Pereira Sampaio,105
Daniel Nobre Bins,106
Rodrigo Carvalhaes de Miranda,107
Felipe Fernandes,108
Edina Alves Batista,109
Jose Mendonça,110
Douglas Marques Flores,111
Bruno Mota Correia,112
Maguielson Lima Barbosa,113
André Luiz Skettino Policarpo Bento,114
Rodrigo Jose Pereira de Lima,115
Paulo Cesar Zanovelli,116
João Vitor Gobi,117
Rafael Rodrigo Klein,118
Ramon Abatti,119
Davi de Oliveira Lacerda,120
Paulo Belence Alves dos Prazeres Filho,121
Matheus Delgado Candançan,122
Denis Ribeiro Serafim,123
Yuri Elino Ferreira da Cruz,124
