tecnico_mandante,index
Ney Franco,0
Adilson Batista,1
Caio Júnior,2
Leandro Machado,3
Roberto Fernandes,4
Vadão,5
Hélio dos Anjos,6
Vanderlei Luxemburgo,7
Emerson Leão,8
Márcio Fernandes,9
Cuca,10
Renato Gaúcho,11
Renê Simões,12
Vágner Benazzi,13
Muricy Ramalho,14
Dorival Júnior,15
Vágner Mancini,16
Giba,17
Ricardo Drubscky,18
Márcio Bittencourt,19
Enderson Moreira,20
Marcelo Oliveira,21
Alexandre Gallo,22
Tico dos Santos,23
Geninho,24
Nelsinho Baptista,25
Abel Braga,26
Tite,27
Antônio Lopes,28
Tita,29
Guilherme Macuglia,30
Paulo César Gusmão,31
Mário Sérgio,32
Celso Roth,33
Joel Santana,34
Julinho Camargo,35
Mauro Fernandes,36
Émerson Ávila,37
Dimas Filgueiras,38
Toninho Cecílio,39
Cristóvão Borges,40
Givanildo Oliveira,41
Luiz Felipe Scolari,42
Paulo César Carpegiani,43
Silas,44
Estevam Soares,45
Oswaldo de Oliveira,46
Falcão,47
Jorginho,48
Narciso,49
Gilson Kleina,50
Marquinhos Santos,51
Guto Ferreira,52
Jairo,53
Arthur Neto,54
Waldemar Lemos,55
Sérgio Guedes,56
Fernandão,57
Osmar Loss,58
Gaúcho,59
Argel Fucks,60
Abel Ribeiro,61
Márcio Goiano,62
Fernando Gil,63
Claudinei Oliveira,64
Dunga,65
Clemer,66
Levi Gomes,67
Zé Sérgio,68
Zé Teodoro,69
Mano Menezes,70
Edson Pimenta,71
Paulo Autuori,72
Eduardo Baptista,73
Alberto Valentim,74
Levir Culpi,75
Miguel Ángel Portugal,76
Gilmar,77
James Freitas,78
Roger Machado,79
Raul Cabral,80
Jayme de Almeida,81
Augusto César,82
Wanderley Filho,83
Danny Sérgio,84
Daniel Paulista,85
Lisca,86
Vinícius Eutrópio,87
Tuca Guimarães,88
Jair Ventura,89
Zé Ricardo,90
Milton Mendes,91
Doriva,92
Adriano Teixeira,93
Edgardo Bauza,94
Sérgio Vieira,95
Pachequinho,96
Diogo Giacomini,97
Emerson Cris,98
Preto Casagrande,99
Dejan Petkovic,100
Fabiano Soares,101
Marcos Paquetá,102
Bruno Lazaroni,103
Diego Aguirre,104
Rogério Micale,105
Fernando Diniz,106
Tiago Nunes,107
Serginho Chulapa,108
Marcelo Chamusca,109
Odair Hellmann,110
Claudio Prates,111
Thiago Larghi,112
Maurício Barbieri,113
João Burse,114
Fábio Moreno,115
André Jardine,116
Valdir,117
Dado Cavalcanti,118
Marcelo Cabo,119
Jacozinho,120
Evando,121
Eduardo Barroca,122
Marcelo Fernandes,123
Pedro Caixinha,124
Eduardo Coudet,125
Juan Pablo Vojvoda,126
Vagner Mancini,127
Fabián Bustos,128
Armando Evangelista,129
Mário Henrique,130
Abel Ferreira,131
Toni Oliveira,132
Pepa,133
Fernando Seabra,134
Renato Portaluppi,135
Mário Jorge,136
Jorge Sampaoli,137
Ramón Díaz,138
Renato Paiva,139
Rogério Ceni,140
William Batista,141
Fernando Lázaro,142
Antônio Carlos Zago,143
