tecnico_visitante,index
Vanderlei Luxemburgo,0
Adilson Batista,1
Roberto Fernandes,2
Cuca,3
Márcio Fernandes,4
Caio Júnior,5
Geninho,6
Mário Sérgio,7
Emerson Leão,8
Antônio Lopes,9
Guilherme Macuglia,10
Muricy Ramalho,11
Tite,12
Vágner Mancini,13
Dorival Júnior,14
Nelsinho Baptista,15
Márcio Bittencourt,16
Celso Roth,17
Renê Simões,18
Leandro Machado,19
Ney Franco,20
Tico dos Santos,21
Vágner Benazzi,22
Alexandre Gallo,23
Marcelo Oliveira,24
Giba,25
Renato Gaúcho,26
Paulo César Gusmão,27
Hélio dos Anjos,28
Enderson Moreira,29
Tita,30
Ricardo Drubscky,31
Vadão,32
Abel Braga,33
Silas,34
Julinho Camargo,35
Toninho Cecílio,36
Givanildo Oliveira,37
Cristóvão Borges,38
Estevam Soares,39
Mauro Fernandes,40
Émerson Ávila,41
Luiz Felipe Scolari,42
Falcão,43
Joel Santana,44
Paulo César Carpegiani,45
Dimas Filgueiras,46
Oswaldo de Oliveira,47
Marquinhos Santos,48
Guto Ferreira,49
Osmar Loss,50
Waldemar Lemos,51
Fernandão,52
Argel Fucks,53
Jorginho,54
Márcio Goiano,55
Gilson Kleina,56
Sérgio Guedes,57
Jairo,58
Arthur Neto,59
Gaúcho,60
Milton Cruz,61
Fernando Gil,62
Jayme de Almeida,63
Edson Pimenta,64
Paulo Autuori,65
Levi Gomes,66
Clemer,67
Mano Menezes,68
Claudinei Oliveira,69
Tcheco,70
Dunga,71
Sílvio Criciúma,72
Péricles Chamusca,73
Doriva,74
Gilmar,75
Levir Culpi,76
Eduardo Baptista,77
Celso Rodrigues,78
Wagner Lopes,79
Vinícius Eutrópio,80
Miguel Ángel Portugal,81
Ricardo Gareca,82
Milton Mendes,83
Odair Hellmann,84
Juan Carlos Osorio,85
Diogo Giacomini,86
Marcelo Fernandes,87
Roger Machado,88
Felipe Moreira,89
Danny Sérgio,90
Hudson Coutinho,91
Pachequinho,92
Diego Aguirre,93
Zé Ricardo,94
Edgardo Bauza,95
Jair Ventura,96
Marcão,97
Daniel Paulista,98
André Jardine,99
Fábio Carille,100
Pintado,101
Sérgio Vieira,102
João Paulo Sanches,103
Preto Casagrande,104
Reinaldo Rueda,105
Elano,106
Fabiano Soares,107
Rogério Ceni,108
Alberto Valentim,109
Lisca,110
Fernando Diniz,111
Marcelo Chamusca,112
Rogério Micale,113
Thiago Larghi,114
Claudio Prates,115
Maurício Barbieri,116
Valdir,117
Tiago Nunes,118
Marcos Paquetá,119
João Burse,120
Dado Cavalcanti,121
Marconne Montenegro,122
Emerson Cris,123
Eduardo Barroca,124
Ricardo Resende,125
Jorge Jesus,126
Rodrigo Santana,127
Jorge Sampaoli,128
Eduardo Barros,129
Renato Paiva,130
Eduardo Coudet,131
Abel Ferreira,132
Toni Oliveira,133
Paulo Turra,134
Armando Evangelista,135
Renato Portaluppi,136
Pedro Caixinha,137
Wesley Carvalho,138
Mário Henrique,139
Bruno Lage,140
Juan Pablo Vojvoda,141
Pepa,142
Ramón Díaz,143
Thiago Kosloski,144
Ivo Vieira,145
Vagner Mancini,146
Antônio Carlos Zago,147
Mário Jorge,148
Fabián Bustos,149
