time_mandante,index
Botafogo,0
Cruzeiro,1
Flamengo,2
Náutico,3
Goiás EC,4
Palmeiras,5
Santos FC,6
Fluminense,7
Portuguesa,8
São Paulo,9
Coritiba FC,10
EC Vitória,11
Ipatinga FC,12
Atlético-MG,13
Atlético-PR,14
Sport Recife,15
Internacional,16
Vasco da Gama,17
Figueirense FC,18
Grêmio,19
EC Bahia,20
Avaí FC,21
América-MG,22
Ceará SC,23
Atlético-GO,24
Corinthians,25
Ponte Preta,26
Criciúma EC,27
Chapecoense,28
Santa Cruz,29
Paraná,30
CSA,31
Santos,32
RB Bragantino,33
Fortaleza,34
Goiás,35
Cuiabá-MT,36
