time_visitante,index
Palmeiras,0
Cruzeiro,1
Náutico,2
Fluminense,3
Santos FC,4
Flamengo,5
Atlético-PR,6
Figueirense FC,7
Botafogo,8
Vasco da Gama,9
São Paulo,10
Internacional,11
EC Vitória,12
Coritiba FC,13
Sport Recife,14
Ipatinga FC,15
Grêmio,16
Portuguesa,17
Atlético-MG,18
Goiás EC,19
Avaí FC,20
Ceará SC,21
América-MG,22
Corinthians,23
EC Bahia,24
Atlético-GO,25
Ponte Preta,26
Criciúma EC,27
Chapecoense,28
Joinville-SC,29
Santa Cruz,30
Paraná,31
Fortaleza,32
Athletico-PR,33
CSA,34
Cuiabá-MT,35
Santos,36
Goiás,37
RB Bragantino,38
